pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
11/2/20,gadph,1,T_243,21.91198931,0.029257556,2,0.133523046,1.068123633,0.966183456,1.083044479
11/2/20,gadph,2,T_244,20.72196366,0.146589478,3,0.707411133,1.010114544,0.913710671,1.02422505
11/2/20,gadph,3,T_245,22.14449587,0.089238834,3,0.402984265,1.079457417,0.97643556,1.094536588
11/2/20,gadph,4,T_246,22.41922621,0.221417199,3,0.987621952,1.092849444,0.988549472,1.108115691
11/2/20,gadph,5,T_247,NA,NA,NA,NA,NA,NA,NA
11/2/20,gadph,6,T_248,20.89780913,0.153706085,3,0.735512916,1.018686322,0.921464371,1.032916569
11/2/20,gadph,7,T_249,20.56527805,0.056878669,3,0.276576222,1.002476735,0.906801803,1.016480546
11/2/20,gadph,8,T_250,21.7330822,0.231054519,3,1.063146575,1.059402612,0.958294757,1.074201633
11/2/20,gadph,9,T_251,21.46277173,0.017921884,2,0.083502186,1.046226036,0.946375734,1.06084099
11/2/20,gadph,10,T_252,20.59916211,0.123200757,3,0.598086253,1.00412845,0.908295881,1.018155334
11/2/20,gadph,11,T_253,21.59651156,0.024016802,2,0.111206858,1.052745328,0.952272835,1.067451352
11/2/20,gadph,12,T_254,20.88108356,0.026311328,2,0.12600557,1.017871016,0.920726876,1.032089873
11/2/20,gadph,13,T_255,20.48936902,0.115872656,2,0.565525741,0.998776467,0.903454683,1.012728588
11/2/20,gadph,14,T_256,21.50742351,0.064841744,2,0.301485408,1.048402635,0.948344602,1.063047995
11/2/20,gadph,15,T_257,22.31622875,0.124959604,2,0.559949468,1.087828722,0.98400792,1.103024833
11/2/20,gadph,16,T_258,21.84877667,0.161375045,3,0.73859991,1.065042264,0.963396169,1.079920067
11/2/20,gadph,17,T_259,NA,NA,NA,NA,NA,NA,NA
11/2/20,gadph,18,T_260,21.45839017,0.102033323,2,0.47549384,1.046012452,0.946182534,1.060624423
