pcr_date,pcr_primer,sample,Sample,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
11/12/20,telo,1,T_483,14.64291093,0.110827373,3,0.756867088,1.010469588,0.973377591,1.168699109
11/12/20,telo,2,T_484,15.68956677,0.158435879,3,1.009816785,1.082696613,1.04295333,1.25223617
11/12/20,telo,3,T_485,14.97732062,0.162856374,3,1.087353195,1.03354634,0.995607249,1.195389452
11/12/20,telo,4,T_486,15.976752,0.121425625,3,0.760014459,1.102514527,1.062043774,1.275157373
11/12/20,telo,5,T_487,15.88055946,0.218775046,3,1.377628078,1.095876527,1.05564944,1.267479928
11/12/20,telo,6,T_488,14.73029624,0.19941046,2,1.353743717,1.016499824,0.979186471,1.17567362
11/12/20,telo,7,T_489,13.86314774,0.189868757,2,1.369593407,0.956660137,0.921543361,1.106463632
11/12/20,telo,8,T_490,15.20264444,0.146715571,3,0.965066122,1.049095357,1.010585498,1.213373291
11/12/20,telo,9,T_491,15.73442118,0.203593266,3,1.293935532,1.0857919,1.045934996,1.255816149
11/12/20,telo,10,T_492,14.73996517,0.21757177,3,1.47606706,1.017167051,0.979829206,1.176445329
11/12/20,telo,11,T_493,15.23847798,0.082086999,2,0.538682401,1.051568137,1.012967508,1.216233284
11/12/20,telo,12,T_494,14.85997773,0.156175919,3,1.050983533,1.025448809,0.98780696,1.186023928
11/12/20,telo,13,T_495,14.28422576,0.079778916,3,0.558510604,0.985717648,0.949534238,1.140071261
11/12/20,telo,14,T_496,13.98565241,0.170201219,2,1.21697018,0.96511387,0.929686776,1.116241135
11/12/20,telo,15,T_497,16.06688118,0.049534472,2,0.308301729,1.108734109,1.06803505,1.282350881
11/12/20,telo,16,T_498,14.56279749,0.11146427,2,0.765404242,1.004941166,0.968052104,1.162304991
11/12/20,telo,17,T_499,14.58644123,0.228572144,3,1.567017895,1.006572759,0.969623806,1.164192076
11/12/20,telo,18,T_500,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,19,T_501,14.31095031,0.053950573,2,0.376988052,0.987561841,0.951310734,1.142204236
11/12/20,telo,20,T_502,14.2681121,0.002959328,2,0.02074085,0.984605686,0.948463093,1.138785176
11/12/20,telo,21,T_503,15.09361966,0.084055927,3,0.556897076,1.041571837,1.003338149,1.204671662
11/12/20,telo,22,T_504,14.68992321,0.069232162,3,0.471290157,1.013713784,0.976502701,1.172451315
11/12/20,telo,23,T_505,15.8197693,0.056318456,2,0.356000488,1.091681554,1.051608455,1.262628065
11/12/20,telo,24,T_506,15.36809912,0.21209926,2,1.380126833,1.060512958,1.021583986,1.226578776
11/12/20,telo,25,T_507,14.99707554,0.220936044,2,1.473194179,1.034909576,0.996920444,1.196966158
11/12/20,telo,26,T_508,15.10979331,0.033065315,2,0.21883367,1.042687939,1.004413281,1.205962535
11/12/20,telo,27,T_509,16.15154787,0.201854375,3,1.24975251,1.11457674,1.073663211,1.289108409
11/12/20,telo,28,T_510,13.70094821,0.17146301,3,1.251468197,0.945467166,0.910761257,1.093517952
11/12/20,telo,29,T_511,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,30,T_512,14.75404601,0.084099565,2,0.570010187,1.018138734,0.98076522,1.177569167
11/12/20,telo,31,T_513,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,32,T_514,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,33,T_515,14.60659456,0.05462204,2,0.373954656,1.007963489,0.970963485,1.16580058
11/12/20,telo,34,T_516,14.44932123,0.125405961,2,0.867902092,0.997110461,0.960508847,1.153248076
11/12/20,telo,35,T_517,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,36,T_518,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,37,T_519,15.89486516,0.042364039,2,0.266526569,1.096863726,1.056600401,1.268621713
11/12/20,telo,38,T_520,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,39,T_521,15.10585868,0.108698272,3,0.719576917,1.042416421,1.00415173,1.205648499
11/12/20,telo,40,T_522,14.84982623,0.154890117,3,1.043043298,1.02474828,0.987132146,1.185213703
