pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
10/29/20,gadph,1,T_122,25.83522889,0.050509809,3,0.195507497,1.134188729,1.123773587,1.200574981
10/29/20,gadph,2,T_123,23.72049291,0.136018807,3,0.573423188,1.041350004,1.03178739,1.102302227
10/29/20,gadph,3,T_124,22.1087466,0.036803458,3,0.166465601,0.970592957,0.961680099,1.027403634
10/29/20,gadph,4,T_125,22.1132792,0.003327881,2,0.015049241,0.970791942,0.961877256,1.027614266
10/29/20,gadph,5,T_126,24.63578809,0.147127477,3,0.597210352,1.081532248,1.071600645,1.144836415
10/29/20,gadph,6,T_127,22.70020056,0.039923728,3,0.175873901,0.996558294,0.987406998,1.054888772
10/29/20,gadph,7,T_128,22.74337974,0.006342943,2,0.027889183,0.998453897,0.989285194,1.056895328
10/29/20,gadph,8,T_129,27.88311864,0.108583861,2,0.389425093,1.224092847,1.212852124,1.295741361
10/29/20,gadph,9,T_130,22.55093275,0.057476313,3,0.254873328,0.990005309,0.980914189,1.047952228
10/29/20,gadph,10,T_131,22.59119721,0.030117552,3,0.133315432,0.991772953,0.982665601,1.049823336
10/29/20,gadph,11,T_132,26.9171498,0.093989165,2,0.349179486,1.181685986,1.170834681,1.250852344
10/29/20,gadph,12,T_133,22.37814472,0.106246599,3,0.474778406,0.982419766,0.973398303,1.039922688
10/29/20,gadph,13,T_134,22.27598514,0.031884713,3,0.14313492,0.977934873,0.968954594,1.035175286
10/29/20,gadph,14,T_135,23.49589996,0.247294252,3,1.052499597,1.03149018,1.022018109,1.091865289
10/29/20,gadph,15,T_136,26.04391823,0.066074781,3,0.253705224,1.14335037,1.132851097,1.210272871
10/29/20,gadph,16,T_137,23.05850246,0.070773766,3,0.306931322,1.012288055,1.002992314,1.071539226
10/29/20,gadph,17,T_138,21.95901746,0.118378867,3,0.539089999,0.964019719,0.955167222,1.020445651
10/29/20,gadph,18,T_139,22.25900705,0.024354329,3,0.109413368,0.97718952,0.968216086,1.034386306
10/29/20,gadph,19,T_140,24.75879273,0.012519447,3,0.050565659,1.086932257,1.076951066,1.150552497
10/29/20,gadph,20,T_141,22.22106918,0.105706042,3,0.475701872,0.975524015,0.966565875,1.032623316
10/29/20,gadph,21,T_142,21.99157097,0.07489698,3,0.340571306,0.965448846,0.956583226,1.021958428
10/29/20,gadph,22,T_143,22.25340296,0.142975571,3,0.642488572,0.976943495,0.967972321,1.034125881
10/29/20,gadph,23,T_144,22.69864672,0.0707589,3,0.3117318,0.996490079,0.98733941,1.054816564
10/29/20,gadph,24,T_145,21.75148247,0.186515656,3,0.857484802,0.954908755,0.946139923,1.010801405
10/29/20,gadph,25,T_146,21.80982358,0.132199523,3,0.606146687,0.95746998,0.948677628,1.013512543
10/29/20,gadph,26,T_147,21.67134674,0.024630724,3,0.113655714,0.951390728,0.942654201,1.007077461
10/29/20,gadph,27,T_148,21.63930829,0.109780497,2,0.507319808,0.949984212,0.941260602,1.005588619
10/29/20,gadph,28,T_149,21.99413604,0.018063447,3,0.082128466,0.965561455,0.9566948,1.022077628
10/29/20,gadph,29,T_150,22.62202723,0.092059863,3,0.406947892,0.993126417,0.984006636,1.051256021
10/29/20,gadph,30,T_151,21.8199171,0.194803419,3,0.892777998,0.957913094,0.949116673,1.013981594
10/29/20,gadph,31,T_152,21.98747544,0.098472895,3,0.447859036,0.965269049,0.956405079,1.021768107
10/29/20,gadph,32,T_153,21.97365422,0.051322265,3,0.233562724,0.964662286,0.955803888,1.021125828
10/29/20,gadph,33,T_154,21.88418713,0.076647452,3,0.350241257,0.960734604,0.951912273,1.016968252
