pcr_date,pcr_primer,sample,sample_id,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
11/10/20,telo,1,T_363,13.22900162,0.022796018,3,0.172318508,0.911606355,0.942134743,1.066359106
11/10/20,telo,2,T_364,14.81749702,0.158016104,3,1.066415626,1.021069075,1.055263212,1.194404032
11/10/20,telo,3,T_365,13.15366312,0.156376036,3,1.188840208,0.906414802,0.936769332,1.060286244
11/10/20,telo,4,T_366,13.61188521,0.041611224,2,0.305697727,0.937990743,0.969402706,1.097222463
11/10/20,telo,5,T_367,14.01330839,0.201513362,3,1.438014182,0.965652688,0.99799101,1.129580254
11/10/20,telo,6,T_368,NA,NA,NA,NA,NA,NA,NA
11/10/20,telo,7,T_369,NA,NA,NA,NA,NA,NA,NA
11/10/20,telo,8,T_370,13.30312777,0.071317103,3,0.536092746,0.916714364,0.947413812,1.072334243
11/10/20,telo,9,T_371,13.69061426,0.241146491,3,1.761400083,0.943415937,0.975009582,1.103568629
11/10/20,telo,10,T_372,13.85320845,0.128649492,2,0.928662068,0.954620252,0.986589113,1.116674969
11/10/20,telo,11,T_373,13.0265318,0.048872705,3,0.375178179,0.897654223,0.927715374,1.050038484
11/10/20,telo,12,T_374,13.79161417,0.198184676,3,1.436994056,0.950375809,0.982202531,1.111709998
11/10/20,telo,13,T_375,13.6525247,0.127811546,2,0.936175171,0.940791197,0.972296944,1.100498318
11/10/20,telo,14,T_376,13.08290015,0.145001859,3,1.108331158,0.901538548,0.931729779,1.054582205
11/10/20,telo,15,T_377,13.74842661,0.174241276,2,1.267354301,0.947399768,0.979126826,1.108228749
11/10/20,telo,16,T_378,14.0695925,0.036597239,3,0.260115844,0.969531208,1.001999417,1.134117185
11/10/20,telo,17,T_379,NA,NA,NA,NA,NA,NA,NA
11/10/20,telo,18,T_380,NA,NA,NA,NA,NA,NA,NA
11/10/20,telo,19,T_381,12.86474593,0.00827824,2,0.064348259,0.886505609,0.916193409,1.036997301
11/10/20,telo,20,T_382,13.61399941,0.141410194,3,1.038711618,0.938136432,0.969553274,1.097392884
11/10/20,telo,21,T_383,13.61430597,0.103886827,2,0.763071045,0.938157556,0.969575106,1.097417595
11/10/20,telo,22,T_384,13.71517969,0.056551764,3,0.412329736,0.945108733,0.976759067,1.105548791
11/10/20,telo,23,T_385,13.89775803,0.041716563,3,0.300167571,0.957690149,0.989761818,1.120266008
11/10/20,telo,24,T_386,14.55628307,0.228864959,2,1.572276094,1.003068903,1.03666024,1.173348182
11/10/20,telo,25,T_387,14.71353832,0.094509,3,0.642326804,1.013905313,1.047859547,1.186024163
11/10/20,telo,26,T_388,14.89624235,0.119605755,2,0.802925679,1.02649539,1.060871247,1.20075151
11/10/20,telo,27,T_389,NA,NA,NA,NA,NA,NA,NA
11/10/20,telo,28,T_390,14.43738266,0.006246525,2,0.043266325,0.994875513,1.028192466,1.163763896
11/10/20,telo,29,T_391,14.74235715,0.072425934,3,0.491277842,1.01589121,1.049911948,1.188347182
11/10/20,telo,30,T_392,12.90979877,0.145505409,3,1.127092777,0.889610186,0.919401954,1.040628906
11/10/20,telo,31,T_393,12.09476563,0.093029805,2,0.769174106,0.833446508,0.861357435,0.974930976
11/10/20,telo,32,T_394,14.08017636,0.209465415,3,1.487661872,0.970260539,1.002753171,1.134970325
11/10/20,telo,33,T_395,15.21208243,0.091217903,3,0.599641128,1.048259832,1.083364549,1.226210646
11/10/20,telo,34,T_396,15.39696089,0.194097606,2,1.260622839,1.060999748,1.096531107,1.241113269
11/10/20,telo,35,T_397,13.99434624,0.201848755,3,1.442359305,0.964346012,0.996640576,1.128051759
11/10/20,telo,36,T_398,15.76030737,0.239991439,3,1.522758619,1.08603784,1.122407688,1.270401786
11/10/20,telo,37,T_399,15.74534084,0.132591781,2,0.842101688,1.085006501,1.121341811,1.269195368
11/10/20,telo,38,T_400,13.49468953,0.001394083,2,0.010330601,0.929914825,0.961056338,1.087775592
11/10/20,telo,39,T_401,13.78468132,0.091508999,2,0.663845588,0.949898069,0.981708791,1.111151157
11/10/20,telo,40,T_402,13.74616093,0.02267726,2,0.16497159,0.94724364,0.97896547,1.108046117
11/10/20,telo,41,T_403,14.01428715,0.109806401,2,0.783531833,0.965720134,0.998060715,1.129659149
11/10/20,telo,42,T_404,13.57446074,0.103398889,2,0.761716369,0.935411834,0.966737434,1.094205764
11/10/20,telo,43,T_405,13.27925832,0.099339361,3,0.748079134,0.915069528,0.945713892,1.070410182
11/10/20,telo,44,T_406,13.82941915,0.14365367,3,1.038754182,0.952980938,0.984894902,1.114757369
11/10/20,telo,45,T_407,13.73926663,0.031993079,3,0.232858709,0.946768556,0.978474476,1.107490383
11/10/20,telo,46,T_408,13.89316354,0.176032697,3,1.267045454,0.957373545,0.98943461,1.119895657
11/10/20,telo,47,T_409,14.59573487,0.212836854,3,1.458212664,1.005787514,1.039469894,1.1765283
11/10/20,telo,48,T_410,14.29998482,0.18315716,2,1.280820659,0.985407471,1.018407353,1.152688576
11/10/20,telo,49,T_411,13.85223468,0.243774379,2,1.759819873,0.954553149,0.986519764,1.116596476
11/10/20,telo,50,T_412,13.73441654,0.129897239,3,0.945779084,0.946434338,0.978129065,1.107099429
11/10/20,telo,51,T_413,15.72760531,0.100424696,2,0.638525026,1.083784351,1.120078733,1.267765748
11/10/20,telo,52,T_414,15.57157097,0.165595798,3,1.063449529,1.073032074,1.108966378,1.255188183
11/10/20,telo,53,T_415,13.68549543,0.172623185,2,1.261358686,0.9430632,0.974645032,1.103156012
11/10/20,telo,54,T_416,13.44551498,0.248919905,3,1.851322952,0.926526222,0.957554255,1.083811745
11/10/20,telo,55,T_417,13.08215054,0.226430292,3,1.730833863,0.901486893,0.931676394,1.054521781
11/10/20,telo,56,T_418,13.05701677,0.043130402,2,0.330323554,0.899754933,0.929886434,1.052495807
11/10/20,telo,57,T_419,13.88610079,0.029588322,2,0.213078694,0.956886853,0.98893162,1.119326345
11/10/20,telo,58,T_420,15.41749193,0.041763235,2,0.270882158,1.062414536,1.097993273,1.242768229
11/10/20,telo,59,T_421,14.36242007,0.088758491,2,0.617991192,0.989709864,1.022853827,1.157721336
11/10/20,telo,60,T_422,14.22997805,0.237743759,3,1.670724709,0.980583326,1.013421654,1.147045492
11/10/20,telo,61,T_423,14.70731403,0.18213916,2,1.238425724,1.013476399,1.047416269,1.185522437
11/10/20,telo,62,T_424,14.56382254,0.23639752,2,1.623183198,1.003588446,1.037197182,1.173955921
11/10/20,telo,63,T_425,14.18565029,0.184680547,2,1.30188284,0.977528714,1.010264748,1.143472334
11/10/20,telo,64,T_426,13.57412778,0.097537249,2,0.718552608,0.93538889,0.966713721,1.094178925
11/10/20,telo,65,T_427,14.04083387,0.145757235,2,1.038095288,0.967549461,0.999951303,1.131799019
11/10/20,telo,66,T_428,NA,NA,NA,NA,NA,NA,NA
