Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Sample,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,11.88537387,0.981565276,1.717202879,Amp,FALSE,1,12.02,0.24,2.02,1.03,3,6,78.75628662,,,,,
B15,FALSE,1,Target 1,Unknown,SYBR,12.30074961,0.970549298,1.718987243,Amp,FALSE,1,,,,,3,6,78.75628662,,,,,
C15,FALSE,1,Target 1,Unknown,SYBR,11.87334112,0.98891002,1.716348901,Amp,FALSE,1,,,,,3,6,78.62149811,,,,,
A17,FALSE,2,Target 1,Unknown,SYBR,12.64008362,0.992184919,1.727578001,Amp,FALSE,2,12.97,0.31,2.38,1.11,3,7,78.62149811,,,,,
B17,FALSE,2,Target 1,Unknown,SYBR,13.25234398,0.976595154,1.705314851,Amp,FALSE,2,,,,,3,8,78.62149811,,,,,
C17,FALSE,2,Target 1,Unknown,SYBR,13.01520918,0.975983826,1.725991373,Amp,FALSE,2,,,,,3,8,78.48670959,,,,,
A19,FALSE,3,Target 1,Unknown,SYBR,11.86780184,0.971234297,1.710574429,Amp,FALSE,3,12.02,0.14,1.18,1.03,3,6,78.89107513,,,,,
B19,FALSE,3,Target 1,Unknown,SYBR,12.06123105,0.981809218,1.713214021,Amp,FALSE,3,,,,,3,8,78.75628662,,,,,
C19,FALSE,3,Target 1,Unknown,SYBR,12.14399164,0.956927952,1.715641212,Amp,FALSE,3,,,,,3,7,78.75628662,,,,,
A21,FALSE,4,Target 1,Unknown,SYBR,12.75250114,0.949730399,1.65270331,Amp,FALSE,4,12.44,0.37,2.97,1.07,3,9,78.62149811,,,,,
B21,FALSE,4,Target 1,Unknown,SYBR,12.0290568,0.97518677,1.716673162,Amp,FALSE,4,,,,,3,7,78.89107513,,,,,
C21,FALSE,4,Target 1,Unknown,SYBR,12.52346823,0.962706116,1.708265292,Amp,FALSE,4,,,,,3,7,78.75628662,,,,,
A23,FALSE,5,Target 1,Unknown,SYBR,12.79376956,0.987830625,1.683198957,Amp,FALSE,5,12.55,0.48,3.79,1.08,3,8,78.75628662,,,,,
B23,FALSE,5,Target 1,Unknown,SYBR,11.9989344,0.982540343,1.700844864,Amp,FALSE,5,,,,,3,6,78.75628662,,,,,
C23,FALSE,5,Target 1,Unknown,SYBR,12.84861899,0.973569296,1.699828671,Amp,FALSE,5,,,,,3,6,78.75628662,,,,,
A2,FALSE,6,Target 1,Unknown,SYBR,13.06536052,0.98390593,1.724630336,Amp,FALSE,6,14.49,1.43,9.87,1.24,3,7,78.34977722,,,,,
B2,FALSE,6,Target 1,Unknown,SYBR,14.48139522,0.990129681,1.711067729,Amp,FALSE,6,,,,,3,9,78.34977722,,,,,
C2,FALSE,6,Target 1,Unknown,SYBR,15.92474406,0.992485068,1.714844598,Amp,FALSE,6,,,,,3,9,77.94560242,,,,,
A4,FALSE,7,Target 1,Unknown,SYBR,12.44310343,0.980347073,1.715581905,Amp,FALSE,7,12.44,0.08,0.61,1.07,3,8,78.75395966,,,,,
