Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,12.17895557,0.981885752,1.713372054,Amp,FALSE,12.38,0.23,1.87,1.10,3,6,78.62545776,,,
B15,FALSE,1,Target 1,Unknown,SYBR,12.33014394,0.980001477,1.716850955,Amp,FALSE,,,,,3,6,78.62545776,,,
C15,FALSE,1,Target 1,Unknown,SYBR,12.63298533,0.984120769,1.717950329,Amp,FALSE,,,,,3,7,78.62545776,,,
A17,FALSE,2,Target 1,Unknown,SYBR,13.48382037,0.987534818,1.721172597,Amp,FALSE,13.76,0.29,2.13,1.23,3,7,78.49066162,,,
B17,FALSE,2,Target 1,Unknown,SYBR,14.068156,0.958798532,1.70670179,Amp,FALSE,,,,,3,9,78.49066162,,,
C17,FALSE,2,Target 1,Unknown,SYBR,13.72821096,0.990423037,1.721478968,Amp,FALSE,,,,,3,7,78.49066162,,,
A19,FALSE,3,Target 1,Unknown,SYBR,12.3045783,0.978598459,1.701673472,Amp,FALSE,12.45,0.18,1.42,1.11,3,6,78.62545776,,,
B19,FALSE,3,Target 1,Unknown,SYBR,12.39891254,0.980873766,1.710969157,Amp,FALSE,,,,,3,7,78.76024628,,,
C19,FALSE,3,Target 1,Unknown,SYBR,12.64735096,0.972268563,1.712170636,Amp,FALSE,,,,,3,6,78.62545776,,,
A21,FALSE,4,Target 1,Unknown,SYBR,13.62355822,0.976555329,1.699020352,Amp,FALSE,15.19,2.63,17.32,1.35,3,7,78.62545776,,,
B21,FALSE,4,Target 1,Unknown,SYBR,13.71247144,0.988378838,1.711766667,Amp,FALSE,,,,,3,9,78.62545776,,,
C21,FALSE,4,Target 1,Unknown,SYBR,18.22231548,0.987551337,1.696691328,Amp,FALSE,,,,,3,11,77.41230011,,,
A23,FALSE,5,Target 1,Unknown,SYBR,13.33653596,0.967923197,1.686669797,Amp,FALSE,13.49,0.18,1.37,1.20,3,7,78.76024628,,,
B23,FALSE,5,Target 1,Unknown,SYBR,13.43684443,0.988826861,1.702420045,Amp,FALSE,,,,,3,8,78.76024628,,,
C23,FALSE,5,Target 1,Unknown,SYBR,13.69394866,0.973064057,1.694886556,Amp,FALSE,,,,,3,7,78.76024628,69.18983459,,
A2,FALSE,6,Target 1,Unknown,SYBR,12.60015087,0.961894522,1.724928801,Amp,FALSE,12.97,0.36,2.79,1.15,3,7,78.89620209,,,
B2,FALSE,6,Target 1,Unknown,SYBR,12.97224807,0.981471839,1.71838202,Amp,FALSE,,,,,3,7,78.76142883,,,
C2,FALSE,6,Target 1,Unknown,SYBR,13.32479997,0.959774375,1.711839185,Amp,FALSE,,,,,3,7,78.76142883,,,
A4,FALSE,7,Target 1,Unknown,SYBR,11.98016139,0.987104295,1.716586163,Amp,FALSE,13.14,1.68,12.76,1.17,3,6,78.89620209,,,
B4,FALSE,7,Target 1,Unknown,SYBR,15.06607996,0.969173757,1.595967361,Amp,FALSE,,,,,3,8,78.49187469,,,
C4,FALSE,7,Target 1,Unknown,SYBR,12.38332392,0.976244765,1.727268297,Amp,FALSE,,,,,3,6,78.76142883,,,
A6,FALSE,8,Target 1,Unknown,SYBR,11.67070227,0.985919294,1.700278648,Amp,FALSE,12.01,0.30,2.50,1.07,3,6,78.76142883,,,
B6,FALSE,8,Target 1,Unknown,SYBR,12.09758304,0.971980707,1.703195309,Amp,FALSE,,,,,3,6,78.89620209,,,
C6,FALSE,8,Target 1,Unknown,SYBR,12.24875521,0.97984733,1.715469258,Amp,FALSE,,,,,3,6,78.76142883,,,
A8,FALSE,9,Target 1,Unknown,SYBR,17.52226571,0.9791558,1.628073394,Amp,FALSE,17.44,0.34,1.94,1.55,3,10,76.33544922,,,
B8,FALSE,9,Target 1,Unknown,SYBR,17.73529669,0.985857807,1.641771889,Amp,FALSE,,,,,3,11,76.33544922,,,
C8,FALSE,9,Target 1,Unknown,SYBR,17.07353402,0.977915388,1.664656438,Amp,FALSE,,,,,3,9,76.8745575,,,
A10,FALSE,10,Target 1,Unknown,SYBR,13.04267678,0.974674651,1.709625342,Amp,FALSE,13.16,0.10,0.75,1.17,3,7,78.76142883,,,
B10,FALSE,10,Target 1,Unknown,SYBR,13.21857015,0.987122719,1.714364752,Amp,FALSE,,,,,3,7,78.62664795,,,
C10,FALSE,10,Target 1,Unknown,SYBR,13.20742458,0.986158143,1.718583993,Amp,FALSE,,,,,3,7,78.62664795,,,
