Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,21.37930772,0.990340964,1.659342858,Amp,FALSE,21.5438365,0.1747425,0.8111021,1.0270584,3,16,76.20928955,,,,,
B15,FALSE,1,Target 1,Unknown,SYBR,21.52494426,0.991870934,1.671270298,Amp,FALSE,,,,,3,16,76.20928955,,,,,
C15,FALSE,1,Target 1,Unknown,SYBR,21.72725749,0.995141884,1.667566204,Amp,FALSE,,,,,3,15,76.0743866,,,,,
A17,FALSE,2,Target 1,Unknown,SYBR,22.53700776,0.993542091,1.60715552,Amp,FALSE,22.6014779,0.1162880,0.5145151,1.0774793,3,16,75.80457306,,,,,
B17,FALSE,2,Target 1,Unknown,SYBR,22.73572078,0.987246085,1.65357682,Amp,FALSE,,,,,3,17,76.20928955,,,,,
C17,FALSE,2,Target 1,Unknown,SYBR,22.53170503,0.995907815,1.672687365,Amp,FALSE,,,,,3,16,76.0743866,,,,,
A19,FALSE,3,Target 1,Unknown,SYBR,21.65310116,0.993243694,1.657032909,Amp,FALSE,21.7426195,0.0775396,0.3566247,1.0365350,3,16,76.20928955,,,,,
B19,FALSE,3,Target 1,Unknown,SYBR,21.78588334,0.993406415,1.663802558,Amp,FALSE,,,,,3,16,76.20928955,,,,,
C19,FALSE,3,Target 1,Unknown,SYBR,21.78887392,0.993741222,1.664614165,Amp,FALSE,,,,,3,16,76.20928955,,,,,
A21,FALSE,4,Target 1,Unknown,SYBR,22.34017803,0.960563394,1.590250154,Amp,FALSE,22.0140164,0.2894362,1.3147813,1.0494733,3,17,76.20928955,,,,,
B21,FALSE,4,Target 1,Unknown,SYBR,21.91408015,0.973246643,1.659702922,Amp,FALSE,,,,,3,16,76.20928955,,,,,
C21,FALSE,4,Target 1,Unknown,SYBR,21.78779099,0.986189923,1.651934593,Amp,FALSE,,,,,3,16,76.20928955,,,,,
A23,FALSE,5,Target 1,Unknown,SYBR,22.51532183,0.993541527,1.624107895,Amp,FALSE,22.5522504,0.0534896,0.2371809,1.0751325,3,16,76.20928955,,,,,
