Sample,Cq_mu,Cq_sd,cq_cv,Cq_relative
1,15.86022525,0.330714496,2.085181581,1.413166334
2,15.71445725,0.29397996,1.870761144,1.400178218
3,15.01883104,0.10006772,0.666281684,1.338197034
4,15.37678312,0.274222513,1.783354236,1.370091022
5,15.89917308,0.466091592,2.931546121,1.416636635
6,12.25841399,0.323980482,2.642923315,1.092240349
7,11.27485761,0.433407389,3.844016519,1.004604219
8,11.06523162,0.488446111,4.414242087,0.985926275
9,10.94046143,0.316268699,2.890816814,0.974809092
10,11.61888916,0.282447191,2.430931104,1.035257869
11,10.77359101,0.18127024,1.682542433,0.959940724
12,15.32929869,0.413636219,2.698337529,1.365860099
13,15.6070123,0.475543807,3.046988094,1.390604737
14,14.6602246,0.648457023,4.42324071,1.306244742
15,15.17750831,1.15243192,7.593024468,1.352335382
16,15.76847722,0.311770439,1.977175314,1.404991467
17,15.91561455,0.275663501,1.732031772,1.418101591
18,12.91341804,0.207325898,1.605507522,1.150602046
19,11.32170905,0.280997516,2.481935501,1.008778741
20,11.79699705,0.703369189,5.962273162,1.05112751
21,11.2649479,0.685358879,6.083995103,1.003721251
22,11.06822224,0.164074395,1.482391581,0.986192743
23,11.15451632,0.233850162,2.096461693,0.993881655
24,15.55005122,0.180855853,1.163056315,1.385529432
25,15.78409254,0.742534666,4.704322813,1.406382812
26,15.47603738,0.566381433,3.659731616,1.378934703
27,15.36901084,0.6965645,4.532266309,1.369398502
28,15.93631914,0.386765014,2.426940694,1.419946396
29,15.92732067,0.450753365,2.83006398,1.419144622
30,11.50195327,0.287157153,2.496594677,1.024838732
31,10.93676519,0.340163692,3.110276997,0.974479752
32,13.82175271,3.310021505,23.94791438,1.231535826
33,13.22532139,0.563998174,4.264532837,1.178393034
34,12.03543136,0.368965475,3.065660578,1.072372311
35,11.2872233,0.189830028,1.68181335,1.005706017
36,17.75336494,0.842281716,4.744349699,1.581847499
37,17.87742996,0.551154165,3.082960841,1.592901851
38,15.67869222,0.306047036,1.951993394,1.396991509
39,15.26144302,0.965029847,6.323319793,1.359814072
40,15.45063312,0.115645985,0.748487032,1.376671152
41,15.39668272,0.414225974,2.690358577,1.371864102
42,11.72550587,0.486520885,4.149252837,1.044757554
43,11.00137488,0.222222157,2.019948954,0.980236558
44,11.03420087,0.204118207,1.849868506,0.983161396
45,11.18105108,0.375198532,3.355664237,0.996245937
46,11.185821,0.581084188,5.194828239,0.996670942
47,11.86200198,0.346362931,2.919936549,1.056919532
48,15.62208852,0.272070064,1.741572926,1.391948046
49,15.89521388,0.833880151,5.246108404,1.416283865
50,14.72714352,0.362799579,2.463475546,1.312207304
51,16.56543841,0.151675342,0.915613211,1.476001727
52,16.85480411,0.545766008,3.23804421,1.50178458
53,15.35269567,0.485610393,3.163030152,1.367944799
54,11.786084,0.313815338,2.662592073,1.050155143
55,11.19107012,0.178632215,1.596203165,0.997138646
56,11.4724156,0.246426578,2.147992078,1.022206888
57,11.75476832,0.285789197,2.431261847,1.047364876
58,12.24689375,0.394225121,3.218980495,1.091213881
59,12.61600495,0.138610945,1.098691267,1.12410216
60,15.95028856,0.071151432,0.446082415,1.42119109
61,15.98249394,0.113839642,0.712277083,1.424060631
62,16.0293769,0.28049371,1.749872822,1.428237961
63,16.34727294,0.050289326,0.307631284,1.456562905
64,15.43878527,0.042734676,0.276800769,1.375615493
65,15.35487799,0.279607151,1.820966286,1.368139247
66,11.51040428,0.692660107,6.017687045,1.025591727
67,11.74253449,0.193814673,1.650535266,1.046274826
68,11.55087601,0.087516195,0.757658506,1.029197811
69,11.59585546,0.049682313,0.428448881,1.033205537
70,11.43271004,0.093728323,0.819825944,1.018669072
