Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,1.0636067293507956,No Amp,false,3,20,78.88150787353516,,,
A2,false,6,Target 1,Unknown,SYBR,13.232467395827694,0.9770515324759961,1.7045901279641513,Amp,false,3,7,78.61216735839844,,,
A3,false,123,Target 1,Unknown,SYBR,12.37354716818417,0.9678693140808337,1.6945451016606385,Amp,false,3,6,78.88150787353516,,,
A4,false,7,Target 1,Unknown,SYBR,11.883740206888131,0.9855179233257536,1.707108242021266,Amp,false,3,6,78.88150787353516,,,
A5,false,124,Target 1,Unknown,SYBR,12.71800484302548,0.9908965537320096,1.7178108996265364,Amp,false,3,6,78.74684143066406,,,
A6,false,8,Target 1,Unknown,SYBR,14.731222390235146,0.9853614409406001,1.6569919402746354,Amp,false,3,8,78.07347869873047,,,
A7,false,125,Target 1,Unknown,SYBR,13.910044442248779,0.9936135769076629,1.701731222374724,Amp,false,3,7,78.61216735839844,,,
A8,false,9,Target 1,Unknown,SYBR,13.510665088415013,0.9907480675987391,1.7178043107908771,Amp,false,3,8,78.61216735839844,,,
A9,false,126,Target 1,Unknown,SYBR,15.272940940252052,0.9913056925424071,1.714251462486594,Amp,false,3,8,78.47749328613281,,,
A10,false,10,Target 1,Unknown,SYBR,12.740713377071767,0.982895204844079,1.7002466984763176,Amp,false,3,7,78.61216735839844,,,
A11,false,127,Target 1,Unknown,SYBR,16.077714894984,0.9875255327174421,1.719603072390668,Amp,false,3,10,78.47749328613281,,,
A12,false,11,Target 1,Unknown,SYBR,13.370943218618763,0.9810488230003858,1.6919870767842549,Amp,false,3,7,78.61216735839844,,,
A13,false,128,Target 1,Unknown,SYBR,12.548395927733534,0.9870009048051649,1.7201725284437999,Amp,false,3,7,78.74778747558594,,,
A14,false,12,Target 1,Unknown,SYBR,13.12943382141517,0.9896253924960021,1.716740968829353,Amp,false,3,7,78.61306762695312,,,
A15,false,1,Target 1,Unknown,SYBR,11.940993054360334,0.9864154690467121,1.7176699175858972,Amp,false,3,6,78.74778747558594,,,
A16,false,13,Target 1,Unknown,SYBR,11.287981808180646,0.9815913490066377,1.7168469883706514,Amp,false,3,6,78.74778747558594,,,
A17,false,2,Target 1,Unknown,SYBR,13.389820263186323,0.9909510766637317,1.718724080045172,Amp,false,3,7,78.61306762695312,,,
A18,false,14,Target 1,Unknown,SYBR,11.308074004059886,0.9762806298690728,1.704034092207443,Amp,false,3,6,78.88251495361328,,,
A19,false,3,Target 1,Unknown,SYBR,13.024421120630734,0.9898924442943531,1.708099536750181,Amp,false,3,7,78.61306762695312,,,
A20,false,15,Target 1,Unknown,SYBR,12.578327252471375,0.9925990331500624,1.7129280147791723,Amp,false,3,6,78.74778747558594,,,
