Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,11.8248725,0.996174325,1.708834202,Amp,FALSE,12.81,0.86,6.69,0.98,3,7,78.72055054,,,,,
B15,FALSE,1,Target 1,Unknown,SYBR,13.1870058,0.993615228,1.706989525,Amp,FALSE,,,,,3,8,78.31661987,,,,,
C15,FALSE,1,Target 1,Unknown,SYBR,13.40684958,0.991256246,1.706007203,Amp,FALSE,,,,,3,8,78.31661987,,,,,
A17,FALSE,2,Target 1,Unknown,SYBR,12.04591058,0.983421258,1.696983015,Amp,FALSE,13.68,1.42,10.38,1.05,3,7,78.31661987,,,,,
B17,FALSE,2,Target 1,Unknown,SYBR,14.59861961,0.990941412,1.688834583,Amp,FALSE,,,,,3,8,78.04734039,,,,,
C17,FALSE,2,Target 1,Unknown,SYBR,14.39990673,0.993757573,1.706026228,Amp,FALSE,,,,,3,9,78.04734039,,,,,
A19,FALSE,3,Target 1,Unknown,SYBR,11.83557499,0.98225098,1.693867299,Amp,FALSE,12.05,0.24,2.03,0.92,3,7,78.45126343,,,,,
B19,FALSE,3,Target 1,Unknown,SYBR,12.31871542,0.988631894,1.695957438,Amp,FALSE,,,,,3,7,78.45126343,,,,,
C19,FALSE,3,Target 1,Unknown,SYBR,12.00992768,0.983210506,1.700956214,Amp,FALSE,,,,,3,7,78.45126343,,,,,
A21,FALSE,4,Target 1,Unknown,SYBR,12.97320995,0.967094394,1.667517978,Amp,FALSE,12.66,0.48,3.76,0.97,3,8,78.31661987,71.71920013,,,,
B21,FALSE,4,Target 1,Unknown,SYBR,12.89199223,0.994545545,1.70828419,Amp,FALSE,,,,,3,8,78.45126343,,,,,
C21,FALSE,4,Target 1,Unknown,SYBR,12.11132699,0.994362089,1.698448512,Amp,FALSE,,,,,3,7,78.58590698,,,,,
A23,FALSE,5,Target 1,Unknown,SYBR,13.89133057,0.975011667,1.661175538,Amp,FALSE,13.22,0.72,5.43,1.01,3,9,78.04734039,,,,,
B23,FALSE,5,Target 1,Unknown,SYBR,13.29873394,0.994421119,1.700986623,Amp,FALSE,,,,,3,8,78.45126343,,,,,
C23,FALSE,5,Target 1,Unknown,SYBR,12.46273797,0.985358532,1.685486794,Amp,FALSE,,,,,3,7,78.58590698,,,,,
A2,FALSE,6,Target 1,Unknown,SYBR,14.49438432,0.988917527,1.699107726,Amp,FALSE,15.18,1.13,7.47,1.16,3,9,78.18066406,,,,,
B2,FALSE,6,Target 1,Unknown,SYBR,14.55297321,0.992943631,1.715899535,Amp,FALSE,,,,,3,9,78.31529236,,,,,
C2,FALSE,6,Target 1,Unknown,SYBR,16.48603108,0.983954038,1.716456134,Amp,FALSE,,,,,3,11,78.18066406,,,,,
A4,FALSE,7,Target 1,Unknown,SYBR,13.12083392,0.99310255,1.71228783,Amp,FALSE,12.83,0.25,1.97,0.98,3,8,78.31529236,,,,,
B4,FALSE,7,Target 1,Unknown,SYBR,12.67768191,0.996384144,1.731094339,Amp,FALSE,,,,,3,7,78.44991302,,,,,
C4,FALSE,7,Target 1,Unknown,SYBR,12.68756962,0.996671588,1.735908337,Amp,FALSE,,,,,3,7,78.44991302,,,,,
A6,FALSE,8,Target 1,Unknown,SYBR,15.08504244,0.992887813,1.71638646,Amp,FALSE,14.13,0.83,5.88,1.08,3,10,78.18066406,,,,,
B6,FALSE,8,Target 1,Unknown,SYBR,13.60328965,0.993781637,1.709533283,Amp,FALSE,,,,,3,8,78.44991302,,,,,
C6,FALSE,8,Target 1,Unknown,SYBR,13.69189011,0.995913438,1.715289061,Amp,FALSE,,,,,3,8,78.31529236,,,,,
A8,FALSE,9,Target 1,Unknown,SYBR,13.98206837,0.994321447,1.708877348,Amp,FALSE,14.02,0.09,0.68,1.07,3,8,78.18066406,,,,,
B8,FALSE,9,Target 1,Unknown,SYBR,14.13373952,0.994178069,1.717218949,Amp,FALSE,,,,,3,9,78.31529236,,,,,
C8,FALSE,9,Target 1,Unknown,SYBR,13.95906962,0.996008651,1.730793629,Amp,FALSE,,,,,3,9,78.31529236,,,,,
A10,FALSE,10,Target 1,Unknown,SYBR,13.57680061,0.985692076,1.710901992,Amp,FALSE,13.29,0.25,1.91,1.02,3,8,78.31529236,,,,,
