Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.8698110056804014,No Amp,false,3,23,78.47553253173828,70.79545593261719,,,
A2,false,6,Target 1,Unknown,SYBR,14.9478848427444,0.9856327883362079,1.7230945151966754,Amp,false,3,8,78.07131958007812,,,,
A3,false,123,Target 1,Unknown,SYBR,12.99925192513161,0.988063059729168,1.6725643343398564,Amp,false,3,7,78.2060546875,,,,
A4,false,7,Target 1,Unknown,SYBR,14.58767105039939,0.9880382190256501,1.702981433334245,Amp,false,3,8,78.07131958007812,,,,
A5,false,124,Target 1,Unknown,SYBR,15.80939194879905,0.991156101861905,1.713932801978238,Amp,false,3,8,77.39762878417969,,,,
A6,false,8,Target 1,Unknown,SYBR,19.26892400477854,0.9898125226561653,1.71775897152246,Amp,false,3,11,77.93658447265625,,,,
A7,false,125,Target 1,Unknown,SYBR,14.811820595954824,0.9924814879125877,1.7050580743579684,Amp,false,3,8,78.07131958007812,,,,
A8,false,9,Target 1,Unknown,SYBR,14.72897422368996,0.992238081182053,1.714518595191261,Amp,false,3,8,78.07131958007812,,,,
A9,false,126,Target 1,Unknown,SYBR,15.55338948410142,0.9902020922855936,1.712958928446629,Amp,false,3,8,78.07131958007812,,,,
A10,false,10,Target 1,Unknown,SYBR,14.882603855091272,0.9902876535694074,1.7089185660193906,Amp,false,3,8,78.07131958007812,,,,
A11,false,127,Target 1,Unknown,SYBR,17.31586168607101,0.9898360664848463,1.7195035525907967,Amp,false,3,10,77.93658447265625,,,,
A12,false,11,Target 1,Unknown,SYBR,19.05730696386248,0.9851642969085644,1.6943416867994172,Amp,false,3,12,77.93658447265625,,,,
A13,false,128,Target 1,Unknown,SYBR,14.450174877502054,0.9888681217993776,1.7178882038237744,Amp,false,3,8,78.22050476074219,,,,
A14,false,12,Target 1,Unknown,SYBR,14.255276162272619,0.9889236715810258,1.703983528018446,Amp,false,3,8,77.95081329345703,,,,
A15,false,1,Target 1,Unknown,SYBR,19.799279977868856,0.9913380154572106,1.7127835146481314,Amp,false,3,12,77.68112182617188,,,,
A16,false,13,Target 1,Unknown,SYBR,14.24911179086115,0.9860925747112983,1.7069975377909268,Amp,false,3,7,77.81596374511719,,,,
