Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A15,FALSE,1,Target 1,Unknown,SYBR,13.17807988,0.981223309,1.718939166,Amp,FALSE,3,7,78.08564758,,,,,
B15,FALSE,1,Target 1,Unknown,SYBR,14.31521196,0.984793411,1.721157116,Amp,FALSE,3,7,77.81591797,,,,,
C15,FALSE,1,Target 1,Unknown,SYBR,13.82995989,0.992273,1.723545922,Amp,FALSE,3,7,78.08564758,,,,,
A17,FALSE,2,Target 1,Unknown,SYBR,15.54726487,0.983047086,1.711396212,Amp,FALSE,3,9,77.41132355,,,,,
B17,FALSE,2,Target 1,Unknown,SYBR,15.4404452,0.96525096,1.697384325,Amp,FALSE,3,9,77.54618835,,,,,
C17,FALSE,2,Target 1,Unknown,SYBR,15.17730453,0.982268147,1.714907975,Amp,FALSE,3,8,77.54618835,,,,,
A19,FALSE,3,Target 1,Unknown,SYBR,14.0252606,0.984365937,1.688804171,Amp,FALSE,3,7,77.41132355,,,,,
B19,FALSE,3,Target 1,Unknown,SYBR,14.66030341,0.980197779,1.692879669,Amp,FALSE,3,8,77.27645874,,,,,
C19,FALSE,3,Target 1,Unknown,SYBR,14.11285625,0.982099239,1.691392633,Amp,FALSE,3,7,77.41132355,,,,,
A21,FALSE,4,Target 1,Unknown,SYBR,14.80876027,0.988262565,1.66766308,Amp,FALSE,3,8,77.81591797,,,,,
B21,FALSE,4,Target 1,Unknown,SYBR,15.06518334,0.986291792,1.715440504,Amp,FALSE,3,8,77.81591797,,,,,
C21,FALSE,4,Target 1,Unknown,SYBR,14.48512302,0.986502021,1.706482411,Amp,FALSE,3,8,77.95077515,,,,,
A23,FALSE,5,Target 1,Unknown,SYBR,14.20802804,0.982559952,1.677526239,Amp,FALSE,3,7,77.81591797,,,,,
B23,FALSE,5,Target 1,Unknown,SYBR,15.12821861,0.985500008,1.696012467,Amp,FALSE,3,8,77.54618835,,,,,
C23,FALSE,5,Target 1,Unknown,SYBR,14.12815987,0.983510963,1.689502015,Amp,FALSE,3,8,77.95077515,,,,,
A2,FALSE,6,Target 1,Unknown,SYBR,15.28091243,0.978250802,1.732660597,Amp,FALSE,3,8,78.07806396,,,,,
B2,FALSE,6,Target 1,Unknown,SYBR,15.56884262,0.986371262,1.730241734,Amp,FALSE,3,9,78.07806396,,,,,
C2,FALSE,6,Target 1,Unknown,SYBR,15.521768,0.986151192,1.724572753,Amp,FALSE,3,8,78.21284485,,,,,
A4,FALSE,7,Target 1,Unknown,SYBR,13.71603587,0.984233245,1.711747728,Amp,FALSE,3,7,78.07806396,,,,,
B4,FALSE,7,Target 1,Unknown,SYBR,13.38361626,0.982719719,1.730194641,Amp,FALSE,3,7,78.21284485,,,,,
C4,FALSE,7,Target 1,Unknown,SYBR,13.38044895,0.976908583,1.732511698,Amp,FALSE,3,7,78.21284485,,,,,
A6,FALSE,8,Target 1,Unknown,SYBR,15.02988244,0.987192064,1.715609326,Amp,FALSE,3,8,78.07806396,,,,,
B6,FALSE,8,Target 1,Unknown,SYBR,14.01264747,0.969877955,1.714402522,Amp,FALSE,3,7,78.34762573,,,,,
C6,FALSE,8,Target 1,Unknown,SYBR,14.61548447,0.992145706,1.723349245,Amp,FALSE,3,8,78.21284485,,,,,
A8,FALSE,9,Target 1,Unknown,SYBR,14.564744,0.990026075,1.723416461,Amp,FALSE,3,8,77.94328308,,,,,
B8,FALSE,9,Target 1,Unknown,SYBR,14.28508681,0.975246384,1.719799003,Amp,FALSE,3,7,78.07806396,,,,,
C8,FALSE,9,Target 1,Unknown,SYBR,15.29496771,0.990017395,1.729340118,Amp,FALSE,3,9,77.8085022,,,,,
A10,FALSE,10,Target 1,Unknown,SYBR,13.54866958,0.9786453,1.707632365,Amp,FALSE,3,7,78.07806396,,,,,
B10,FALSE,10,Target 1,Unknown,SYBR,13.11732412,0.989142113,1.723243798,Amp,FALSE,3,7,78.21284485,,,,,
C10,FALSE,10,Target 1,Unknown,SYBR,14.00650268,0.988834314,1.721948841,Amp,FALSE,3,7,77.94328308,,,,,
A12,FALSE,11,Target 1,Unknown,SYBR,13.67094088,0.977447045,1.701023244,Amp,FALSE,3,7,78.07806396,,,,,
B12,FALSE,11,Target 1,Unknown,SYBR,13.08986186,0.981703193,1.721432008,Amp,FALSE,3,7,78.21284485,,,,,
C12,FALSE,11,Target 1,Unknown,SYBR,14.71271078,0.98534513,1.723830718,Amp,FALSE,3,8,77.67372131,,,,,
A14,FALSE,12,Target 1,Unknown,SYBR,13.62338376,0.978696653,1.717695053,Amp,FALSE,3,7,78.08564758,,,,,
B14,FALSE,12,Target 1,Unknown,SYBR,13.71867525,0.980532499,1.717558188,Amp,FALSE,3,7,78.08564758,,,,,
C14,FALSE,12,Target 1,Unknown,SYBR,14.21885856,0.982632168,1.725657439,Amp,FALSE,3,7,77.81591797,,,,,
A16,FALSE,13,Target 1,Unknown,SYBR,13.6090318,0.987766377,1.724378018,Amp,FALSE,3,7,78.08564758,,,,,
B16,FALSE,13,Target 1,Unknown,SYBR,13.68422389,0.988169028,1.729326497,Amp,FALSE,3,7,78.08564758,,,,,
C16,FALSE,13,Target 1,Unknown,SYBR,14.01234332,0.982569137,1.726494835,Amp,FALSE,3,7,77.95077515,,,,,
A18,FALSE,14,Target 1,Unknown,SYBR,13.5733893,0.978316978,1.71167598,Amp,FALSE,3,7,78.08564758,,,,,
B18,FALSE,14,Target 1,Unknown,SYBR,13.33968273,0.984265946,1.721294629,Amp,FALSE,3,7,78.08564758,,,,,
C18,FALSE,14,Target 1,Unknown,SYBR,13.40142338,0.986238718,1.718898399,Amp,FALSE,3,7,78.08564758,,,,,
A20,FALSE,15,Target 1,Unknown,SYBR,12.95072233,0.978655115,1.716830977,Amp,FALSE,3,7,78.22050476,,,,,
B20,FALSE,15,Target 1,Unknown,SYBR,13.14961566,0.974244472,1.710582792,Amp,FALSE,3,7,78.22050476,,,,,
C20,FALSE,15,Target 1,Unknown,SYBR,13.57464657,0.990739319,1.707982413,Amp,FALSE,3,7,78.08564758,,,,,
A22,FALSE,16,Target 1,Unknown,SYBR,15.50982595,0.989519736,1.702516738,Amp,FALSE,3,8,78.22050476,,,,,
B22,FALSE,16,Target 1,Unknown,SYBR,15.62687799,0.991743537,1.710153955,Amp,FALSE,3,8,78.22050476,,,,,
C22,FALSE,16,Target 1,Unknown,SYBR,16.09238934,0.987897536,1.719255341,Amp,FALSE,3,9,77.95077515,,,,,
A24,FALSE,17,Target 1,Unknown,SYBR,13.56594519,0.98433292,1.708646272,Amp,FALSE,3,7,78.22050476,,,,,
B24,FALSE,17,Target 1,Unknown,SYBR,13.89884345,0.981707233,1.714435482,Amp,FALSE,3,7,78.22050476,,,,,
C24,FALSE,17,Target 1,Unknown,SYBR,14.6186558,0.987156589,1.711137534,Amp,FALSE,3,8,77.95077515,,,,,
D1,FALSE,18,Target 1,Unknown,SYBR,16.0385819,0.975002385,1.699015932,Amp,FALSE,3,9,78.07806396,,,,,
E1,FALSE,18,Target 1,Unknown,SYBR,16.79017354,0.988513774,1.708932927,Amp,FALSE,3,9,77.8085022,,,,,
F1,FALSE,18,Target 1,Unknown,SYBR,15.83551309,0.991003358,1.705875886,Amp,FALSE,3,8,78.21284485,,,,,
D3,FALSE,19,Target 1,Unknown,SYBR,13.39922832,0.981257115,1.70034532,Amp,FALSE,3,7,78.34762573,,,,,
E3,FALSE,19,Target 1,Unknown,SYBR,13.95512987,0.982061607,1.711733835,Amp,FALSE,3,7,78.21284485,,,,,
F3,FALSE,19,Target 1,Unknown,SYBR,13.11066273,0.988680598,1.720397677,Amp,FALSE,3,7,78.48240662,,,,,
D5,FALSE,20,Target 1,Unknown,SYBR,13.35056861,0.983153802,1.725990231,Amp,FALSE,3,7,78.34762573,,,,,
E5,FALSE,20,Target 1,Unknown,SYBR,13.85426895,0.982341865,1.69529798,Amp,FALSE,3,7,78.07806396,,,,,
F5,FALSE,20,Target 1,Unknown,SYBR,13.57419825,0.983092912,1.711149272,Amp,FALSE,3,7,78.34762573,,,,,
D7,FALSE,21,Target 1,Unknown,SYBR,13.43717047,0.972276997,1.721061814,Amp,FALSE,3,7,78.21284485,,,,,
E7,FALSE,21,Target 1,Unknown,SYBR,14.28030623,0.974450248,1.717394252,Amp,FALSE,3,8,78.07806396,,,,,
F7,FALSE,21,Target 1,Unknown,SYBR,14.91865108,0.977866569,1.709650361,Amp,FALSE,3,8,77.94328308,,,,,
D9,FALSE,22,Target 1,Unknown,SYBR,15.78455296,0.988085763,1.731216287,Amp,FALSE,3,9,78.21284485,,,,,
E9,FALSE,22,Target 1,Unknown,SYBR,16.9539859,0.992950624,1.723964269,Amp,FALSE,3,9,77.94328308,,,,,
F9,FALSE,22,Target 1,Unknown,SYBR,17.4474095,0.98776711,1.717615181,Amp,FALSE,3,10,77.8085022,,,,,
D11,FALSE,23,Target 1,Unknown,SYBR,14.53854283,0.98649555,1.732632222,Amp,FALSE,3,8,78.07806396,,,,,
E11,FALSE,23,Target 1,Unknown,SYBR,15.9165748,0.993125505,1.719796801,Amp,FALSE,3,8,77.8085022,,,,,
F11,FALSE,23,Target 1,Unknown,SYBR,14.99516958,0.990322256,1.734286059,Amp,FALSE,3,8,78.21284485,,,,,
D13,FALSE,24,Target 1,Unknown,SYBR,17.07003089,0.989571104,1.740271636,Amp,FALSE,3,9,78.08564758,,,,,
E13,FALSE,24,Target 1,Unknown,SYBR,16.46440595,0.991723244,1.736846989,Amp,FALSE,3,9,78.35536957,,,,,
F13,FALSE,24,Target 1,Unknown,SYBR,16.77271448,0.973617749,1.730440384,Amp,FALSE,3,10,78.22050476,,,,,
D15,FALSE,25,Target 1,Unknown,SYBR,14.44675233,0.982926341,1.727894886,Amp,FALSE,3,8,77.95077515,,,,,
E15,FALSE,25,Target 1,Unknown,SYBR,14.59749229,0.98800815,1.722853623,Amp,FALSE,3,8,78.08564758,,,,,
F15,FALSE,25,Target 1,Unknown,SYBR,15.13842561,0.982965039,1.723254492,Amp,FALSE,3,8,77.95077515,,,,,
D17,FALSE,26,Target 1,Unknown,SYBR,13.47383398,0.983654997,1.724764693,Amp,FALSE,3,7,78.22050476,,,,,
E17,FALSE,26,Target 1,Unknown,SYBR,13.87636096,0.989549126,1.714847533,Amp,FALSE,3,7,78.08564758,,,,,
F17,FALSE,26,Target 1,Unknown,SYBR,13.41468023,0.990992655,1.719047705,Amp,FALSE,3,7,78.35536957,,,,,
D19,FALSE,27,Target 1,Unknown,SYBR,14.33317668,0.974884813,1.710533396,Amp,FALSE,3,8,78.08564758,,,,,
E19,FALSE,27,Target 1,Unknown,SYBR,14.58803648,0.990411392,1.712869982,Amp,FALSE,3,8,78.08564758,,,,,
F19,FALSE,27,Target 1,Unknown,SYBR,14.12552207,0.989487539,1.732748187,Amp,FALSE,3,7,78.22050476,,,,,
D21,FALSE,28,Target 1,Unknown,SYBR,13.26790167,0.977735838,1.700705097,Amp,FALSE,3,7,78.22050476,,,,,
E21,FALSE,28,Target 1,Unknown,SYBR,13.7053993,0.990400504,1.70845601,Amp,FALSE,3,7,78.22050476,,,,,
F21,FALSE,28,Target 1,Unknown,SYBR,13.38297935,0.985433502,1.710505631,Amp,FALSE,3,7,78.35536957,,,,,
D23,FALSE,29,Target 1,Unknown,SYBR,13.87390693,0.977144994,1.71717283,Amp,FALSE,3,8,78.22050476,,,,,
E23,FALSE,29,Target 1,Unknown,SYBR,14.26031469,0.983098166,1.697275416,Amp,FALSE,3,8,78.22050476,,,,,
F23,FALSE,29,Target 1,Unknown,SYBR,13.78745927,0.976506491,1.704534415,Amp,FALSE,3,7,78.49023438,,,,,
D2,FALSE,30,Target 1,Unknown,SYBR,13.24831011,0.973988599,1.711607979,Amp,FALSE,3,7,78.21284485,,,,,
E2,FALSE,30,Target 1,Unknown,SYBR,13.3176104,0.983531857,1.705761842,Amp,FALSE,3,7,78.21284485,,,,,
F2,FALSE,30,Target 1,Unknown,SYBR,13.2317722,0.975726586,1.710007281,Amp,FALSE,3,7,78.34762573,,,,,
D4,FALSE,31,Target 1,Unknown,SYBR,13.16314646,0.98699046,1.723933028,Amp,FALSE,3,6,78.34762573,,,,,
E4,FALSE,31,Target 1,Unknown,SYBR,13.82378924,0.96973618,1.714108604,Amp,FALSE,3,8,78.34762573,,,,,
F4,FALSE,31,Target 1,Unknown,SYBR,13.94056764,0.975158697,1.712805793,Amp,FALSE,3,8,78.21284485,,,,,
D6,FALSE,32,Target 1,Unknown,SYBR,13.0588123,0.950237177,1.721904853,Amp,FALSE,3,7,78.34762573,,,,,
E6,FALSE,32,Target 1,Unknown,SYBR,13.72053107,0.983616785,1.719960786,Amp,FALSE,3,7,78.21284485,,,,,
F6,FALSE,32,Target 1,Unknown,SYBR,16.00610589,0.985868234,1.714274729,Amp,FALSE,3,9,77.53894043,,,,,
D8,FALSE,33,Target 1,Unknown,SYBR,13.36123434,0.979049427,1.724459907,Amp,FALSE,3,7,78.21284485,,,,,
E8,FALSE,33,Target 1,Unknown,SYBR,13.55903241,0.984130717,1.714768109,Amp,FALSE,3,7,78.21284485,,,,,
F8,FALSE,33,Target 1,Unknown,SYBR,13.81244576,0.988272155,1.729154633,Amp,FALSE,3,7,78.21284485,,,,,
