Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,122,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,false,3,39,72.29354858398438,88.61583709716797,83.89451599121094,67.70711517333984,,
A2,false,6,Target 1,Unknown,SYBR,23.657961849960316,0.9907702587775277,1.6320516908547946,Amp,false,3,17,75.93570709228516,,,,,
A3,false,123,Target 1,Unknown,SYBR,21.1200651261692,0.9879757579800511,1.6370203009731255,Amp,false,3,13,76.20549774169922,,,,,
A4,false,7,Target 1,Unknown,SYBR,23.90835045387746,0.9928562606057763,1.661232930651633,Amp,false,3,16,76.07060241699219,,,,,
A5,false,124,Target 1,Unknown,SYBR,22.240197691078173,0.9932117763363185,1.6582740896899473,Amp,false,3,15,76.07060241699219,,,,,
A6,false,8,Target 1,Unknown,SYBR,22.99771658629632,0.984413782235774,1.621235528535889,Amp,false,3,16,75.66592407226562,,,,,
A7,false,125,Target 1,Unknown,SYBR,23.585907540356544,0.9937880745181085,1.5827585655585927,Amp,false,3,17,76.07060241699219,,,,,
A8,false,9,Target 1,Unknown,SYBR,24.086894150991533,0.993226056146061,1.6147988119394214,Amp,false,3,17,75.80081176757812,,,,,
A9,false,126,Target 1,Unknown,SYBR,24.851837059084943,0.995615918967055,1.6504697573899803,Amp,false,3,18,76.07060241699219,,,,,
A10,false,10,Target 1,Unknown,SYBR,24.736225402861884,0.9926155558427898,1.639472990500707,Amp,false,3,17,76.07060241699219,,,,,
A11,false,127,Target 1,Unknown,SYBR,26.5236217462907,0.9949079398394303,1.6571115600811643,Amp,false,3,20,75.93570709228516,,,,,
A12,false,11,Target 1,Unknown,SYBR,23.173930245805153,0.9917480539844067,1.6332007202324412,Amp,false,3,16,75.80081176757812,,,,,
A13,false,128,Target 1,Unknown,SYBR,23.537857520149053,0.9946607044045539,1.661876761360053,Amp,false,3,16,75.93807983398438,,,,,
A14,false,12,Target 1,Unknown,SYBR,22.87535971228703,0.9951374246489452,1.6435721444241158,Amp,false,3,16,75.93807983398438,,,,,
A15,false,1,Target 1,Unknown,SYBR,22.650381026133843,0.9943731348597638,1.6163710832837674,Amp,false,3,16,75.53329467773438,,,,,
A16,false,13,Target 1,Unknown,SYBR,22.44345481522312,0.9934720700289241,1.6578866203690048,Amp,false,3,15,75.93807983398438,,,,,
A17,false,2,Target 1,Unknown,SYBR,22.772161633530445,0.9932119959147094,1.6467045903378303,Amp,false,3,15,75.80315399169922,,,,,
A18,false,14,Target 1,Unknown,SYBR,24.260840551561742,0.9935286605125525,1.6476087159085535,Amp,false,3,18,75.93807983398438,,,,,
A19,false,3,Target 1,Unknown,SYBR,22.925212864166944,0.9830551092780344,1.659627425969807,Amp,false,3,14,76.07300567626953,,,,,
A20,false,15,Target 1,Unknown,SYBR,23.13645657412995,0.9936033241202711,1.6438888353957453,Amp,false,3,16,75.93807983398438,,,,,
A21,false,4,Target 1,Unknown,SYBR,22.697810546376168,0.986411160645839,1.589205805603394,Amp,false,3,17,75.93807983398438,,,,,
A22,false,16,Target 1,Unknown,SYBR,22.07537448592798,0.9791071325910019,1.6254546639640581,Amp,false,3,16,76.07300567626953,,,,,
A23,false,5,Target 1,Unknown,SYBR,21.651027584763064,0.9908674371820415,1.5981847575150163,Amp,false,3,15,75.80315399169922,,,,,
