* Block Type = 96-Well 0.2-mL Block
* Date Created = Fri Aug 14 08:40:41 EDT 2020
* Passive Reference = ROX

[Sample Setup]
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,Negative,"RGB(216,27,96)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
2,A2,Golden,"RGB(142,36,170)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
3,A3,Std1,"RGB(57,73,171)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
4,A4,Std2,"RGB(30,136,229)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
5,A5,Std3,"RGB(0,172,193)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
6,A6,Std4,"RGB(0,137,123)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
7,A7,Std5,"RGB(67,160,71)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
8,A8,1,"RGB(124,179,66)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
9,A9,2,"RGB(192,202,51)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
10,A10,3,"RGB(255,179,0)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
11,A11,4,"RGB(244,81,30)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
12,A12,5,"RGB(109,76,65)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
13,B1,Negative,"RGB(216,27,96)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
14,B2,Golden,"RGB(142,36,170)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
15,B3,Std1,"RGB(57,73,171)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
16,B4,Std2,"RGB(30,136,229)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
17,B5,Std3,"RGB(0,172,193)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
18,B6,Std4,"RGB(0,137,123)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
19,B7,Std5,"RGB(67,160,71)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
20,B8,1,"RGB(124,179,66)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
21,B9,2,"RGB(192,202,51)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
22,B10,3,"RGB(255,179,0)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
23,B11,4,"RGB(244,81,30)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
24,B12,5,"RGB(109,76,65)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
25,C1,Negative,"RGB(216,27,96)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
26,C2,Golden,"RGB(142,36,170)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
27,C3,Std1,"RGB(57,73,171)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
28,C4,Std2,"RGB(30,136,229)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
29,C5,Std3,"RGB(0,172,193)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
30,C6,Std4,"RGB(0,137,123)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
31,C7,Std5,"RGB(67,160,71)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
32,C8,1,"RGB(124,179,66)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
33,C9,2,"RGB(192,202,51)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
34,C10,3,"RGB(255,179,0)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
35,C11,4,"RGB(244,81,30)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
36,C12,5,"RGB(109,76,65)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
37,D1,6,"RGB(244,143,177)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
38,D2,7,"RGB(206,147,216)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
39,D3,8,"RGB(159,168,218)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
40,D4,9,"RGB(144,202,249)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
41,D5,10,"RGB(128,222,234)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
42,D6,11,"RGB(128,203,196)",,,Telomere,"RGB(216,27,96)",UNKNOWN,SYBR,,,
