* Block Type = 384-Well Block
* Date Created = Fri Jul 31 10:37:35 EDT 2020
* Passive Reference = ROX

[Sample Setup]
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,H20,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
2,A2,6,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
3,A3,Gold,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
4,A4,7,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
5,A5,Std1,"RGB(148,103,189)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
6,A6,8,"RGB(140,86,75)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
7,A7,Std2,"RGB(227,119,194)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
8,A8,9,"RGB(127,127,127)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
9,A9,Std3,"RGB(188,189,34)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
10,A10,10,"RGB(23,190,207)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
11,A11,Std4,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
12,A12,11,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
13,A13,Std5,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
14,A14,12,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
15,A15,1,"RGB(148,103,189)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
16,A16,13,"RGB(140,86,75)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
17,A17,2,"RGB(227,119,194)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
18,A18,14,"RGB(127,127,127)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
19,A19,3,"RGB(188,189,34)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
20,A20,15,"RGB(23,190,207)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
21,A21,4,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
22,A22,16,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
23,A23,5,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
24,A24,17,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
25,B1,H20,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
26,B2,6,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
27,B3,Gold,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
28,B4,7,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
29,B5,Std1,"RGB(148,103,189)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
30,B6,8,"RGB(140,86,75)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
31,B7,Std2,"RGB(227,119,194)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
32,B8,9,"RGB(127,127,127)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
33,B9,Std3,"RGB(188,189,34)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
34,B10,10,"RGB(23,190,207)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
35,B11,Std4,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
36,B12,11,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
37,B13,Std5,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
38,B14,12,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
39,B15,1,"RGB(148,103,189)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
40,B16,13,"RGB(140,86,75)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
41,B17,2,"RGB(227,119,194)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
42,B18,14,"RGB(127,127,127)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
43,B19,3,"RGB(188,189,34)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
44,B20,15,"RGB(23,190,207)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
45,B21,4,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
46,B22,16,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
47,B23,5,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
48,B24,17,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
49,C1,H20,"RGB(31,119,180)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
50,C2,6,"RGB(255,127,14)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
51,C3,Gold,"RGB(44,160,44)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
52,C4,7,"RGB(214,39,40)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
53,C5,Std1,"RGB(148,103,189)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
54,C6,8,"RGB(140,86,75)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
55,C7,Std2,"RGB(227,119,194)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
56,C8,9,"RGB(127,127,127)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
57,C9,Std3,"RGB(188,189,34)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
58,C10,10,"RGB(23,190,207)",,,Target 1,"RGB(216,27,96)",UNKNOWN,SYBR,,,
