Location,Site,Nest,Species,Exp_Year,Attempt_Number,Clutch_Initiation_Date,CI_Last_Checked,Clutch_Completion_Date,CC_Last_Checked,Clutch_Size,Egg_Loss_Number,Egg_Loss_Reason,Egg_Loss_Date,Incubation_Failure,Incubation_Failure_Date,Eggs_Swapped,Hatch_Date,HD_Last_Checked,Brood_Size_Hatching,Day6_Brood_Mass,Brood_Size_Day6,Chick_Loss_Incident_1_Date,Chick_Loss_Incident_1_#lost,Chick_Loss_Incident_1_Reason,Chick_Loss_Incident_2_Date,Chick_Loss_Incident_2_#lost,Chick_Loss_Incident_2_Reason,Chick_Loss_Incident_3_Date,Chick_Loss_Incident_3_#lost,Chick_Loss_Incident_3_Reason,Chick_Loss_Incident_4_Date,Chick_Loss_Incident_4_#lost,Chick_Loss_Incident_4_Reason,Chick_Abandon_F,Chick_Abandon_M,Nest_Fate_Date,Nest_Fate,Nest_Fate_Last_Check,#fledged,Nest_Experiment,Nest_Treatment,Female_ID,Male_ID,Fecal_Sample_nb,Notes
Ithaca,Unit_1,13,TRES,2013,1,12-May-13,2d ago,17-May-13,2d ago,5,5,D5,,,,,,,0,,,,,,,,,,,,,,,,,30-May-13,Died,8d ago,0,Peltier,Control,239160527,,,
Ithaca,Unit_1,15,TRES,2013,1,14-May-13,2d ago,25-May-13,2d ago,7,0,NL,,,,,09-Jun-13,1,6,,,,,,,,,,,,,,,,,05-Jul-13,Fledged,2d ago,6,,,160120562,240150306,,
Ithaca,Unit_1,19,TRES,2013,1,09-May-13,2d ago,13-May-13,2d ago,5,5,D,,,,,,,0,,,,,,,,,,,,,,,,,23-Jun-13,Died,2d ago,0,Peltier,Cool,160118778,,,
Ithaca,Unit_1,24,TRES,2013,1,01-Jun-13,4d ago,04-Jun-13,2d ago,4,4,D,,,,,,,0,,,,,,,,,,,,,,,,,11-Jun-13,Died,2d ago,0,,,239160518,,,
Ithaca,Unit_1,25,TRES,2013,1,06-Jun-13,2d ago,10-Jun-13,2d ago,5,0,NL,,,,,25-Jun-13,2,5,,,,,,,,,,,,,,,,,29-Jun-13,,1d ago,0,Peltier,Control,239160532,,,
Ithaca,Unit_1,26,TRES,2013,1,06-Jun-13,2d ago,09-Jun-13,2d ago,4,4,D,,,,,,,0,,,,,,,,,,,,,,,,,15-Jun-13,Died,4d ago,0,Peltier,Cool,240151666,,,
Ithaca,Unit_1,28,TRES,2013,1,20-May-13,2d ago,24-May-13,2d ago,5,5,D5,,,,,,,0,,,,,,,,,,,,,,,,,30-May-13,Died,2d ago,0,Peltier,Cool,239160532,,,
Ithaca,Unit_1,29,TRES,2013,1,17-May-13,2d ago,21-May-13,2d ago,4,3,U3,,,,,07-Jun-13,2,1,,,,,,,,,,,,,,,,,07-Jun-13,Died,2d ago,0,,,239152841,,,
Ithaca,Unit_1,31,TRES,2013,1,23-May-13,2d ago,27-May-13,2d ago,4,4,D,,,,,,,0,,,,,,,,,,,,,,,,,09-Jun-13,Died,2d ago,0,Peltier,Control,239160538,,,
Ithaca,Unit_1,33,TRES,2013,1,11-May-13,2d ago,15-May-13,2d ago,5,5,D,,,,,,,0,,,,,,,,,,,,,,,,,29-May-13,Died,8d ago,0,Peltier,Cool,239160519,,,
