extract_label,band,year,day,Capture_Date,state,telo_nb,box_nb,cell_nb,study_c,study_d,study_e,study_f,prnt_knwn,in_rrbs,used_conc,used_260_280,used_260_230
T_001,263114002,2016,138,17-May-16,NY,,6,D5,1,1,1,0,,yes,19.2,1.97,1.4
T_002,263113716,2016,143,22-May-16,NY,,6,F3,1,1,1,0,,yes,7.6,2.07,1.05
T_003,240150273,2016,144,23-May-16,NY,,6,D8,1,1,1,0,,no,24.5,1.86,1.55
T_004,262125706,2016,140,19-May-16,NY,,2,A1,1,1,0,0,,yes,24.6,1.97,1.79
T_005,259122567,2016,141,20-May-16,NY,,2,A4,1,1,0,0,,yes,21.6,2.02,1.77
T_006,263113715,2016,142,21-May-16,NY,,2,A7,1,1,0,0,,yes,4.3,1.76,0.58
T_007,240150270,2016,143,22-May-16,NY,,2,A9,1,1,0,0,,yes,7.9,3.34,0.94
T_008,262125801,2016,143,22-May-16,NY,,2,B1,1,1,0,0,,no,9,1.71,0.75
T_009,259122567,2015,139,19-May-15,NY,,5,A3,1,1,0,0,,yes,7.7,1.93,1.12
T_010,262126127,2015,140,20-May-15,NY,,5,A5,1,1,0,0,,yes,20.9,2.03,1.38
T_011,263113705,2015,140,20-May-15,NY,,5,B4,1,1,0,0,,no,31.4,1.76,1.79
T_012,263113706,2015,140,20-May-15,NY,,5,B9,1,1,0,0,,yes,10.1,2.01,0.96
T_013,262125801,2015,140,20-May-15,NY,,5,C2,1,1,0,0,,yes,4.4,2.19,0.46
T_014,240151526,2015,140,20-May-15,NY,,5,C8,1,1,0,0,,yes,3.5,3.3,0.87
T_015,263113709,2015,140,20-May-15,NY,,5,D3,1,1,0,0,,yes,4.6,3.5,0.73
T_016,262125706,2015,141,21-May-15,NY,,5,A7,1,1,0,0,,yes,6.4,2.55,0.46
T_017,240150273,2015,142,22-May-15,NY,,5,B2,1,1,0,0,,yes,7.3,1.73,1.25
T_018,263113716,2015,142,22-May-15,NY,,5,C4,1,1,0,0,,yes,20.3,2.01,1.77
T_019,240150270,2015,142,22-May-15,NY,,5,C6,1,1,0,0,,yes,3,-700,0.37
T_020,263113715,2015,142,22-May-15,NY,,5,D7,1,1,0,0,,yes,48.3,1.75,1.95
T_021,263113714,2015,142,22-May-15,NY,,5,E1,1,1,0,0,,yes,9.5,2.59,1.28
T_022,263113718,2015,144,24-May-15,NY,,5,B6,1,1,0,0,,yes,27.9,1.9,1.7
T_023,240150278,2015,145,25-May-15,NY,,5,A9,1,1,0,0,,yes,12,2.68,0.79
T_024,263113720,2015,145,25-May-15,NY,,5,D1,1,1,0,0,,yes,18.3,1.89,1.6
T_025,263113722,2015,145,25-May-15,NY,,5,F2,1,1,0,0,,yes,5.8,1.71,0.61
T_026,222154848,2015,155,4-Jun-15,NY,,5,D9,1,1,0,0,,no,16.3,1.93,0.93
T_027,263114002,2015,168,17-Jun-15,NY,,5,A1,1,1,0,0,,no,14.3,1.53,0.73
T_028,263113903,2015,176,25-Jun-15,NY,,5,D5,1,1,0,0,,yes,6.1,2.04,0.83
T_029,263113709,2016,139,18-May-16,NY,,6,F6,1,1,0,0,,yes,27.2,2.08,1.91
T_030,263113734,2016,141,20-May-16,NY,,6,F1,1,1,0,0,,yes,4.6,3.64,1.06
T_031,263113706,2016,141,20-May-16,NY,,6,F2,1,1,0,0,,yes,21.6,2.15,1.22
T_032,263113714,2016,141,20-May-16,NY,,6,F9,1,1,0,0,,yes,31.2,1.97,1.44
T_033,263113718,2016,142,21-May-16,NY,,6,D9,1,1,0,0,,yes,22.4,1.91,1.6
T_034,240151526,2016,142,21-May-16,NY,,6,F4,1,1,0,0,,no,11.9,1.72,1.45
T_035,263113722,2016,143,22-May-16,NY,,6,G1,1,1,0,0,,yes,14.7,1.89,1.23
T_036,263113903,2016,144,23-May-16,NY,,6,F7,1,1,0,0,,yes,5.8,2.45,0.94
T_037,222154848,2016,144,23-May-16,NY,,6,F8,1,1,0,0,,yes,9.5,1.76,0.9
T_038,240150278,2016,146,25-May-16,NY,,6,D7,1,1,0,0,,yes,22.8,2.07,1.48
T_039,262125559,2016,153,1-Jun-16,NY,,6,G2,1,1,0,0,,no,17.1,1.72,0.65
T_040,262126127,2016,157,5-Jun-16,NY,,6,D6,1,1,0,0,,yes,12.3,1.91,0.73
T_041,263114336,2016,162,10-Jun-16,NY,,6,G3,1,1,0,0,,no,17,1.8,1.21
T_042,263114336,2015,178,27-Jun-15,NY,,6,A8,1,1,0,0,,no,20.1,1.7,1.63
T_043,263113901,2015,136,16-May-15,NY,,5,H7,1,0,0,0,,yes,7.4,2.18,1.21
T_044,263113702,2015,138,18-May-15,NY,,5,H1,1,0,0,0,,yes,4,1.73,0.63
T_045,222153407,2015,138,18-May-15,NY,,5,H9,1,0,0,0,,yes,14.7,1.73,1.35
T_046,263113703,2015,139,19-May-15,NY,,5,G3,1,0,0,0,,yes,7.1,1.57,0.81
T_047,263113704,2015,139,19-May-15,NY,,5,I2,1,0,0,0,,yes,5.8,2.02,0.92
T_048,240150280,2015,140,20-May-15,NY,,5,F5,1,0,0,0,,yes,27.8,1.92,1.81
T_049,222154163,2015,140,20-May-15,NY,,5,G2,1,0,0,0,,yes,34.9,1.77,1.77
T_050,240150566,2015,137,17-May-15,NY,,5,G8,1,0,0,0,,yes,4.3,1.76,0.62
T_051,263113710,2015,141,21-May-15,NY,,5,F9,1,0,0,0,,yes,12.7,1.72,0.85
T_052,240150281,2015,141,21-May-15,NY,,5,H4,1,0,0,0,,yes,18.3,1.7,0.74
T_053,263113712,2015,142,22-May-15,NY,,5,G4,1,0,0,0,,yes,3,1.72,0.5
T_054,263113713,2015,142,22-May-15,NY,,5,G5,1,0,0,0,,yes,4,2.32,0.62
T_055,263113717,2015,142,22-May-15,NY,,5,H2,1,0,0,0,,yes,15.8,1.78,1.75
T_056,240150287,2015,145,25-May-15,NY,,5,F6,1,0,0,0,,yes,8.9,2,1.08
T_057,240150269,2015,145,25-May-15,NY,,5,F8,1,0,0,0,,yes,3.7,2.61,0.55
T_058,263113719,2015,145,25-May-15,NY,,5,G6,1,0,0,0,,yes,9.1,2.05,1.07
T_059,263113723,2015,146,26-May-15,NY,,5,H6,1,0,0,0,,yes,18.9,1.7,1.01
T_060,263113725,2015,147,27-May-15,NY,,5,I1,1,0,0,0,,no,20.9,1.78,1.31
T_061,259122567,2015,150,30-May-15,NY,,5,A4,1,0,0,0,,yes,12.5,1.92,0.94
T_062,262125801,2015,150,30-May-15,NY,,5,C3,1,0,0,0,,no,19.4,1.76,0.96
T_063,240151526,2015,150,30-May-15,NY,,5,C9,1,0,0,0,,no,7,1.51,0.65
T_064,262126035,2015,150,30-May-15,NY,,5,H3,1,0,0,0,,no,21.8,1.44,0.67
T_065,263113902,2015,154,3-Jun-15,NY,,5,G1,1,0,0,0,,no,30.8,1.55,0.77
T_066,262126127,2015,155,4-Jun-15,NY,,5,A6,1,0,0,0,,yes,10.9,2.48,1.44
T_067,263113705,2015,155,4-Jun-15,NY,,5,B5,1,0,0,0,,no,14.9,1.72,0.72
T_068,263113706,2015,155,4-Jun-15,NY,,5,C1,1,0,0,0,,yes,24.9,1.88,1.11
T_069,240150270,2015,155,4-Jun-15,NY,,5,C7,1,0,0,0,,yes,16.2,1.91,1.16
T_070,263113709,2015,155,4-Jun-15,NY,,5,D4,1,0,0,0,,yes,15.3,2.28,1.39
T_071,263113715,2015,155,4-Jun-15,NY,,5,D8,1,0,0,0,,yes,5.3,2.5,0.51
T_072,263113714,2015,155,4-Jun-15,NY,,5,F1,1,0,0,0,,yes,8.6,2.05,0.85
T_073,262125512,2015,155,4-Jun-15,NY,,5,G9,1,0,0,0,,yes,22.8,1.71,1.6
T_074,262125706,2015,156,5-Jun-15,NY,,5,A8,1,0,0,0,,yes,23.1,2.06,1.46
T_075,240150278,2015,156,5-Jun-15,NY,,5,B1,1,0,0,0,,yes,24,2.03,1.66
T_076,240150273,2015,156,5-Jun-15,NY,,5,B3,1,0,0,0,,no,20.4,1.57,0.91
T_077,263113718,2015,156,5-Jun-15,NY,,5,B7,1,0,0,0,,yes,8.9,2.32,1.02
T_078,263113716,2015,156,5-Jun-15,NY,,5,C5,1,0,0,0,,yes,6.2,2.5,1.08
T_079,262125916,2015,157,6-Jun-15,NY,,5,F4,1,0,0,0,,yes,5.4,2.2,0.83
T_080,263113720,2015,157,6-Jun-15,NY,,5,D2,1,0,0,0,,yes,7,1.67,1.1
T_081,263113722,2015,157,6-Jun-15,NY,,5,F3,1,0,0,0,,yes,33.8,1.58,1.33
T_082,263113988,2015,165,14-Jun-15,NY,,5,I4,1,0,0,0,,yes,5.1,1.92,0.52
T_083,263114306,2015,167,16-Jun-15,NY,,5,F7,1,0,0,0,,yes,4.9,1.96,0.85
T_084,263113724,2015,167,16-Jun-15,NY,,5,I3,1,0,0,0,,no,16.8,1.61,1.13
T_085,263113731,2015,168,17-Jun-15,NY,,5,G7,1,0,0,0,,no,32.9,1.86,1.44
T_086,263113734,2015,171,20-Jun-15,NY,,5,B8,1,0,0,0,,yes,12.8,1.91,1.11
T_087,262125888,2015,173,22-Jun-15,NY,,5,H5,1,0,0,0,,yes,45.3,1.93,1.92
T_088,263114002,2015,179,28-Jun-15,NY,,5,A2,1,0,0,0,,no,11.6,1.93,0.94
T_089,263114339,2015,179,28-Jun-15,NY,,5,H8,1,0,0,0,,yes,19,2.09,1.46
T_090,263113903,2015,187,6-Jul-15,NY,,5,D6,1,0,0,0,,yes,5.5,1.9,1.12
T_091,263113701,2015,137,17-May-15,NY,,6,A3,1,0,0,0,,yes,49.7,1.84,1.9
T_092,263113721,2015,145,25-May-15,NY,,6,A4,1,0,0,0,,yes,7,1.4,0.95
T_093,262126026,2015,147,27-May-15,NY,,6,A2,1,0,0,0,,yes,54.9,1.54,0.79
