ANIMAL	SOCNEST	GENNEST	YEAR	UNIT	EXP	SOCMOM	SOCDAD	GENMOM	GENDAD	SWAP	HATCH	BROODBAND	BDATE	AGEBAND	TIMEDAY	BASELATENCY	BASECORT	STRESSLATENCY	STRESSCORT	SLOPE	HEADBILL	FLATWING	MASS	SBMI	SEX	WPO	FATE															
240151579	2132	2132	2013	2	1	240151507	240151541	240151507	240151541	1	151	3	163	12	11.983	37	0.86	31	1.89	1.04	22.30	32.00	14.40	21.836	1	1	1															
240151580	2132	2132	2013	2	1	240151507	240151541	240151507	240151541	1	151	3	163	12	11.983	41	2.43	31	3.29	0.86	22.70	32.50	16.25	24.262	2	1	1															
259122401	2132	2132	2013	2	1	240151507	240151541	240151507	240151541	1	151	3	163	12	11.983	37	13.79	31	2.83	-10.96	23.00	34.00	15.00	21.406	2	1	1															
240151573	2134	2134	2013	2	1	240151516	240151537	240151516	NA	1	150	6	162	12	12.483	27	57.39	NA	NA	NA	23.40	36.00	14.00	18.868	2	2	2															
240151574	2134	2134	2013	2	1	240151516	240151537	240151516	NA	1	150	6	162	12	12.483	60	20.15	NA	NA	NA	22.28	33.50	14.70	21.292	2	2	2															
240151575	2134	2134	2013	2	1	240151516	240151537	240151516	NA	1	150	6	162	12	12.483	99	66.37	NA	NA	NA	22.39	31.00	10.20	15.966	2	2	2															
240151576	2134	2134	2013	2	1	240151516	240151537	240151516	240151538	1	150	6	162	12	12.483	46	22.94	NA	NA	NA	22.40	33.00	16.50	24.261	1	2	2															
240151596	2134	2134	2013	2	1	240151516	240151537	240151516	240151537	1	150	6	162	12	12.483	120	51.32	NA	NA	NA	22.90	30.50	13.65	21.717	1	1	2															
259122452	2138	2138	2013	2	1	240150429	240151555	240150429	240151555	1	156	3	168	12	13.200	60	1.90	33	26.95	25.05	25.25	46.30	17.25	18.072	2	1	1															
259122453	2138	2138	2013	2	1	240150429	240151555	240150429	240151555	1	156	3	168	12	13.200	60	3.98	30	9.83	5.85	25.30	49.30	21.25	20.906	1	1	1															
259122454	2138	2138	2013	2	1	240150429	240151555	240150429	240151555	1	156	3	168	12	13.200	161	NA	30	18.73	NA	24.10	48.80	19.80	19.680	1	1	1															
240151581	2139	2139	2013	2	1	240150566	240150342	240150566	240150677	1	151	6	163	12	12.217	46	3.43	34	1.77	-1.66	23.90	41.00	13.75	16.269	1	2	1															
240151582	2139	2139	2013	2	1	240150566	240150342	240150566	240150677	1	151	6	163	12	12.217	89	3.36	34	15.42	12.06	25.80	42.50	16.20	18.491	2	2	1															
