year	band	in_herit_analysis	in_18_19_exp	in_epp_analysis	exclude	unsamp_egg	soc_un	soc_box	soc_uby	laid_un	laid_box	laid_ub	lay_clutch	gen_dad_uby	soc_mal_x	soc_mal_y	gen_mal_x	gen_mal_y	dist_soc_gen	soc_ci	gen_ci	offset_soc_gen	sex	soc_mal_caught	type	both_parent_knwn	in_xfost_exp	raised_nest	soc_mom	gen_mom	soc_dad_raised	soc_dad_laid	gen_dad	d12_mass	d12_wing	d12_head	d12_bgluc	d12_sgluc	d12_dgluc	d15_acgluc	d12_lat	d12_time	d15_mass	d15_time	d12_base	d12_stress	d12_dex	d15_acth	note
2018	272107268	yes		yes		no	4	80	4_80_2018	4	72	4_72_2018	6	4_71_2018	387635	4702341	387642	4702298	44	133	141	8	M	yes	EP	yes	yes	cross	272107599	272107298	263114115	239159375	272107693	25	57	24.8					75	875	20.25	715	0.47	10.673	3.985	0.8	
2019	281128543	yes		yes		no	2	37	2_37_2019	2	37	2_37_2019	5	2_37_2019	382042	4706538	382042	4706538	0	153	153	0		yes	WP	yes	yes	home	278172145	278172146	272106914	272106914	272106914	24.75	52	24.5	191	229	270	244	67	746	20.5	678	1.183	5.528	7.306	0.944	
2018	272107274	yes		yes		no	1	91	1_91_2018	1	91	1_91_2018	5	1_91_2018	379479	4706863	379479	4706863	0	133	133	0	F	yes	WP	yes	yes	home	272107809	272107809	272107634	272107634	272107634	19	42	24.8					128	725	16.5	603	7.555	24.81	7.024	2.507	
2018	272107278	yes		yes		no	1	81	1_81_2018	1	91	1_91_2018	5	1_91_2018	379479	4706863	379479	4706863	0	133	133	0	F	yes	WP	yes	yes	cross	232146953	272107809	262125966	272107634	272107634	20.5	52	26					103	779	17	549	3.079	20.51	4.683	4.481	
2018	272106960	yes		yes		no	1	75	1_75_2018	1	75	1_75_2018	6	1_75_2018	379471	4706936	379471	4706936	0	138	138	0	F	yes	WP	yes	yes	home	272107699	272107699	272107825	272107825	272107825	18	47	20.9					68	787	18.5	570	2.701	12.697	3.523	5.96	
2018	272107271	yes		yes		no	1	91	1_91_2018	1	81	1_81_2018	5	1_81_2018	379528	4706915	379528	4706915	0	133	133	0	M	yes	WP	yes	yes	cross	272107809	232146953	272107634	262125966	262125966	18.25	49	24.2					81	725	14.5	603	1.291	29.379	8.77	6.313	
2018	272106961	no		yes		no	1	75	1_75_2018	1	104	1_104_2018	4		379539	4706845				138			F	no	UNK	no	yes	cross	272107699	272107790	272107825	unk		13	40	25.3					68	787	13	570	3.571	4.107	2.118	6.778	
2018	272107276	yes		yes		no	1	81	1_81_2018	1	91	1_91_2018	5	1_91_2018	379479	4706863	379479	4706863	0	133	133	0	F	yes	WP	yes	yes	cross	232146953	272107809	262125966	272107634	272107634	19.5	48	24.4					130	779	16	549	3.704	46.263	3.598	7.095	
2018	272107277	yes		yes		no	1	81	1_81_2018	1	81	1_81_2018	5	1_81_2018	379528	4706915	379528	4706915	0	133	133	0	F	yes	WP	yes	yes	home	232146953	232146953	262125966	262125966	262125966	19.75	54	25.7					179	779	15.5	549	6.663	47.177	9.173	7.234	
2018	272107590	yes		yes		no	4	61	4_61_2018	4	61	4_61_2018	6	4_93_2018	387770	4701886	387696	4702109	235	132	138	6	F	yes	EP	yes	yes	home	240134898	240134898	259122329	259122329	240134830	20.5	55	25.2					157	796	15	566	2.061	25.655	7.676	7.41	
