"pcr_plate","Std3","gold","T_087"
"7/23/20_gadph",22.61346624,22.4363686,NA
"7/31/20_gadph",22.91995991,22.35373132,NA
"10/26/20_gadph",23.01509611,22.83119579,21.32737748
"10/26/20_telo",13.86094951,14.15908641,12.13451249
"10/29/20_gadph",22.98971002,22.7785978,21.51904653
"10/29/20_telo",14.84826141,15.64713764,12.8753199
"11/2/20_telo",14.9265782,14.79822558,12.08176454
"11/10/20_gadph",22.5330763,22.5946164,21.18563928
"11/10/20_telo",14.04151765,14.51174792,12.40576607
"11/24/20_telo",15.09015965,14.7,12.24374435
"11/25/20_gadph",NA,23.66353024,22.03455775
"11/25/20_telo",NA,14.61,12.83387046
